epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,599,,,,,0.5409311056137085,1.1690781116485596
0,599,,,0.4022374153137207,1.5527312755584717,,
1,1199,,,,,0.6922458410263062,0.9108291268348694
1,1199,,,0.6104873418807983,1.0496013164520264,,
2,1799,,,,,0.793810248374939,0.7148022651672363
2,1799,,,0.7471747398376465,0.8157469034194946,,
3,2399,,,,,0.826473593711853,0.6328309178352356
3,2399,,,0.804612398147583,0.6890119314193726,,
4,2999,,,,,0.8378772735595703,0.5770180821418762
4,2999,,,0.8322316408157349,0.6032201647758484,,
5,3599,,,,,0.8555071949958801,0.5088406205177307
5,3599,,,0.8501788377761841,0.5433318018913269,,
6,4199,,,,,0.8446195125579834,0.5381170511245728
6,4199,,,0.8611674904823303,0.4965231418609619,,
7,4799,,,,,0.8765288591384888,0.43713632225990295
7,4799,,,0.871740460395813,0.4604792892932892,,
8,5399,,,,,0.8826816082000732,0.4134686589241028
8,5399,,,0.8787140250205994,0.43424105644226074,,
9,5999,,,,,0.8860788345336914,0.40494370460510254
9,5999,,,0.8831551671028137,0.4143144190311432,,
10,6599,,,,,0.8884595632553101,0.39376530051231384
10,6599,,,0.8871561288833618,0.3993701636791229,,
11,7199,,,,,0.8896088600158691,0.38565531373023987
11,7199,,,0.8905600309371948,0.3849579989910126,,
12,7799,,,,,0.89056396484375,0.3792673945426941
12,7799,,,0.8943305611610413,0.3742438554763794,,
13,8399,,,,,0.889324426651001,0.39110562205314636
13,8399,,,0.8945937156677246,0.3679066300392151,,
14,8999,,,,,0.8959304094314575,0.3620200753211975
14,8999,,,0.8983354568481445,0.3590165972709656,,
15,9599,,,,,0.8913605809211731,0.37790289521217346
15,9599,,,0.9003239870071411,0.3531373143196106,,
16,10199,,,,,0.881130039691925,0.40531134605407715
16,10199,,,0.9025917053222656,0.3439376652240753,,
17,10799,,,,,0.8880205750465393,0.3796584904193878
17,10799,,,0.902652382850647,0.3396643102169037,,
18,11399,,,,,0.9005334377288818,0.33943331241607666
18,11399,,,0.9053078889846802,0.3328809440135956,,
19,11999,,,,,0.903925895690918,0.3388555645942688
19,11999,,,0.9060080647468567,0.32663100957870483,,
20,12599,,,,,0.8932206034660339,0.35915297269821167
20,12599,,,0.9094749093055725,0.32049989700317383,,
21,13199,,,,,0.9037399291992188,0.32915163040161133
21,13199,,,0.9095473885536194,0.319236695766449,,
22,13799,,,,,0.893696665763855,0.3609047830104828
22,13799,,,0.9102029204368591,0.31581929326057434,,
23,14399,,,,,0.9044322967529297,0.33598968386650085
23,14399,,,0.9106317758560181,0.3147742450237274,,
24,14999,,,,,0.9063773155212402,0.3253728151321411
24,14999,,,0.9135050773620605,0.30747368931770325,,
25,15599,,,,,0.909071147441864,0.3217160403728485
25,15599,,,0.9138146638870239,0.3033403754234314,,
26,16199,,,,,0.9100627899169922,0.3217375874519348
26,16199,,,0.9160935878753662,0.29972779750823975,,
27,16799,,,,,0.9072252511978149,0.32667818665504456
27,16799,,,0.9157195687294006,0.2971833050251007,,
28,17399,,,,,0.9103479385375977,0.31650251150131226
28,17399,,,0.9170584082603455,0.29444146156311035,,
29,17999,,,,,0.9082504510879517,0.31942951679229736
29,17999,,,0.9169422388076782,0.2941053509712219,,
30,18599,,,,,0.910666286945343,0.307450532913208
30,18599,,,0.9174225926399231,0.28927621245384216,,
31,19199,,,,,0.9036669135093689,0.3305850327014923
31,19199,,,0.9180532693862915,0.28771016001701355,,
32,19799,,,,,0.9059944152832031,0.32431548833847046
32,19799,,,0.9203615188598633,0.28461989760398865,,
33,20399,,,,,0.9108718633651733,0.31476038694381714
33,20399,,,0.9192562103271484,0.28690123558044434,,
34,20999,,,,,0.9134616851806641,0.3053445518016815
34,20999,,,0.9214272499084473,0.2777329087257385,,
35,21599,,,,,0.9090397357940674,0.3194642663002014
35,21599,,,0.9217106103897095,0.27717193961143494,,
36,22199,,,,,0.9073441624641418,0.3192318379878998
36,22199,,,0.9226163029670715,0.2747180461883545,,
37,22799,,,,,0.9130386114120483,0.30713990330696106
37,22799,,,0.9218205213546753,0.2751512825489044,,
38,23399,,,,,0.9160120487213135,0.30165040493011475
38,23399,,,0.9231557846069336,0.2735539972782135,,
39,23999,,,,,0.9151588082313538,0.3072047829627991
39,23999,,,0.9236570596694946,0.2704267203807831,,
40,24599,,,,,0.9103467464447021,0.3111270070075989
40,24599,,,0.9233382940292358,0.26853302121162415,,
41,25199,,,,,0.9114913940429688,0.30198904871940613
41,25199,,,0.9246175289154053,0.26750853657722473,,
42,25799,,,,,0.9154871106147766,0.29657894372940063
42,25799,,,0.9254879951477051,0.26554566621780396,,
43,26399,,,,,0.909841001033783,0.3138253390789032
43,26399,,,0.9251797199249268,0.2647021412849426,,
44,26999,,,,,0.9076313972473145,0.31866809725761414
44,26999,,,0.9253761768341064,0.2642580568790436,,
45,27599,,,,,0.9144713878631592,0.2969152629375458
45,27599,,,0.9266727566719055,0.2613709270954132,,
46,28199,,,,,0.9128948450088501,0.3089883327484131
46,28199,,,0.9265142679214478,0.2606976330280304,,
47,28799,,,,,0.9156367778778076,0.2942560613155365
47,28799,,,0.9276527762413025,0.25845715403556824,,
48,29399,,,,,0.9184055328369141,0.2912006080150604
48,29399,,,0.9283607006072998,0.2570740580558777,,
49,29999,,,,,0.9140120148658752,0.30124834179878235
49,29999,,,0.927452027797699,0.2580486238002777,,
50,30000,0.9140120148658752,0.30124834179878235,,,,
