epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,599,,,,,0.8803819417953491,0.43503880500793457
0,599,,,0.5585265159606934,1.3035205602645874,,
1,1199,,,,,0.9486855864524841,0.17371565103530884
1,1199,,,0.9208831787109375,0.28028732538223267,,
2,1799,,,,,0.9666365385055542,0.1113615483045578
2,1799,,,0.9541332721710205,0.15413345396518707,,
3,2399,,,,,0.9731459617614746,0.08642373979091644
3,2399,,,0.9657282829284668,0.1133524551987648,,
4,2999,,,,,0.9775159358978271,0.07524985074996948
4,2999,,,0.9721621870994568,0.0906570553779602,,
5,3599,,,,,0.9801896810531616,0.061153046786785126
5,3599,,,0.9767545461654663,0.07669611275196075,,
6,4199,,,,,0.9829870462417603,0.05527829751372337
6,4199,,,0.9788193106651306,0.06838162988424301,,
7,4799,,,,,0.9812332391738892,0.058200471103191376
7,4799,,,0.9818968176841736,0.059175994247198105,,
8,5399,,,,,0.9842792749404907,0.048504576086997986
8,5399,,,0.9838707447052002,0.05277808755636215,,
9,5999,,,,,0.9838656187057495,0.04851754009723663
9,5999,,,0.984860360622406,0.04759650304913521,,
10,6599,,,,,0.9865239858627319,0.04312824830412865
10,6599,,,0.9867451190948486,0.04294569045305252,,
11,7199,,,,,0.9854995012283325,0.048316191881895065
11,7199,,,0.9878010749816895,0.03888911008834839,,
12,7799,,,,,0.9872503280639648,0.03902744501829147
12,7799,,,0.9884392619132996,0.03636131435632706,,
13,8399,,,,,0.9864859580993652,0.040727823972702026
13,8399,,,0.9904022216796875,0.03186195716261864,,
14,8999,,,,,0.9867078065872192,0.03801160305738449
14,8999,,,0.9904677867889404,0.03056662529706955,,
15,9599,,,,,0.9875980019569397,0.03940410539507866
15,9599,,,0.9913610219955444,0.027556786313652992,,
16,10199,,,,,0.9874387979507446,0.03615591302514076
16,10199,,,0.9921488761901855,0.025177329778671265,,
17,10799,,,,,0.9897974729537964,0.03431227430701256
17,10799,,,0.9924538731575012,0.02385629527270794,,
18,11399,,,,,0.9872620701789856,0.03647071495652199
18,11399,,,0.9933540225028992,0.02170174941420555,,
19,11999,,,,,0.9867629408836365,0.03963430970907211
19,11999,,,0.9933886528015137,0.020483683794736862,,
20,12599,,,,,0.98759925365448,0.03997207432985306
20,12599,,,0.9942970275878906,0.017661267891526222,,
21,13199,,,,,0.9888480305671692,0.03559090197086334
21,13199,,,0.9950520992279053,0.01716034486889839,,
22,13799,,,,,0.987548828125,0.042346980422735214
22,13799,,,0.9950575828552246,0.016249075531959534,,
23,14399,,,,,0.9885419607162476,0.036379314959049225
23,14399,,,0.9955227971076965,0.014005599543452263,,
24,14999,,,,,0.9881179332733154,0.04012797772884369
24,14999,,,0.9961272478103638,0.013020087964832783,,
25,15599,,,,,0.9887024760246277,0.03762079030275345
25,15599,,,0.996196985244751,0.012263565324246883,,
26,16199,,,,,0.9871101379394531,0.04295932129025459
26,16199,,,0.9967265129089355,0.011015373282134533,,
27,16799,,,,,0.987144947052002,0.0418330579996109
27,16799,,,0.9966881275177002,0.01105896569788456,,
28,17399,,,,,0.988319456577301,0.03963905945420265
28,17399,,,0.9968762993812561,0.010093416087329388,,
29,17999,,,,,0.9866378903388977,0.045774251222610474
29,17999,,,0.9973804950714111,0.008583725430071354,,
30,18000,0.9866378903388977,0.045774251222610474,,,,
