epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,781,,,,,0.3531000018119812,1.5685211420059204
0,781,,,0.27761998772621155,1.7972828149795532,,
1,1563,,,,,0.3467999994754791,1.687009572982788
1,1563,,,0.3869599997997284,1.5246988534927368,,
2,2345,,,,,0.4275999963283539,1.4696153402328491
2,2345,,,0.43466001749038696,1.427493691444397,,
3,3127,,,,,0.4235999882221222,1.526534914970398
3,3127,,,0.46658000349998474,1.3645515441894531,,
4,3909,,,,,0.45899999141693115,1.414456844329834
4,3909,,,0.4906800091266632,1.3152577877044678,,
5,4691,,,,,0.5054000020027161,1.2886474132537842
5,4691,,,0.5078200101852417,1.2817659378051758,,
6,5473,,,,,0.48499998450279236,1.3810441493988037
6,5473,,,0.521619975566864,1.2477755546569824,,
7,6255,,,,,0.39719998836517334,1.8442165851593018
7,6255,,,0.5342600345611572,1.219805359840393,,
8,7037,,,,,0.5206999778747559,1.2719626426696777
8,7037,,,0.5455600023269653,1.200968623161316,,
9,7819,,,,,0.4868999719619751,1.359915018081665
9,7819,,,0.5550199747085571,1.176656723022461,,
10,8601,,,,,0.531499981880188,1.258182406425476
10,8601,,,0.5620999932289124,1.1565229892730713,,
11,9383,,,,,0.5236999988555908,1.2692149877548218
11,9383,,,0.5720599889755249,1.1415425539016724,,
12,10165,,,,,0.5519000291824341,1.1975370645523071
12,10165,,,0.5763200521469116,1.1245321035385132,,
13,10947,,,,,0.5358999967575073,1.2489231824874878
13,10947,,,0.5806599855422974,1.111681580543518,,
14,11729,,,,,0.5175999999046326,1.3490017652511597
14,11729,,,0.5922600030899048,1.0949362516403198,,
15,12511,,,,,0.5450999736785889,1.2503674030303955
15,12511,,,0.5930600166320801,1.0832610130310059,,
16,13293,,,,,0.5361000299453735,1.2355157136917114
16,13293,,,0.5974199771881104,1.0713841915130615,,
17,14075,,,,,0.5321000218391418,1.2997161149978638
17,14075,,,0.600059986114502,1.0630987882614136,,
18,14857,,,,,0.5148999691009521,1.3470627069473267
18,14857,,,0.6038199663162231,1.0522016286849976,,
19,15639,,,,,0.5468000173568726,1.248203992843628
19,15639,,,0.6072199940681458,1.047568917274475,,
20,15640,0.5468000173568726,1.248203992843628,,,,
